index,category,van_walraven_weights,thompson_30_weights,thompson_29_weights,AHRQ_weights,swiss_weights
0,Congestive heart failure,7,9,9,9,13
1,Cardiac arrhythmias,5,8,0,0,6
2,Valvular disease,-1,0,0,0,-1
3,Pulmonary circulation disorders,4,5,5,6,6
4,Peripheral vascular disorders,2,4,4,3,3
5,Hypertension uncomplicated,0,-2,-1,-1,-4
6,Hypertension complicated,0,-2,-1,1,-3
7,Paralysis,7,4,3,5,11
8,Other neurological disorders,6,5,4,5,10
9,Chronic pulmonary disease,3,3,3,3,3
10,Diabetes uncomplicated,0,0,-1,0,1
11,Diabetes complicated,0,1,0,-3,-1
12,Hypothyroidism,0,0,0,0,-3
13,Renal failure,5,7,6,6,8
14,Liver disease,11,7,5,4,16
15,Peptic ulcer disease excluding bleeding,0,0,0,0,0
16,AIDS/HIV,0,0,0,0,0
17,Lymphoma,9,8,6,6,9
18,Metastatic cancer,12,17,13,14,17
19,Solid tumor without metastasis,4,10,8,7,10
20,Rheumatoid arthritis/collagen vascular diseases,0,0,0,0,-1
21,Coagulopathy,3,12,9,11,9
22,Obesity,-4,-5,-4,-5,-6
23,Weight loss,6,10,8,9,6
24,Fluid and electrolyte disorders,5,11,9,11,5
25,Blood loss anemia,-2,-3,-2,-3,-5
26,Deficiency anemia,-2,0,0,-2,-7
27,Alcohol abuse,0,0,-2,-1,-3
28,Drug abuse,-7,-11,-8,-7,-5
29,Psychoses,0,-6,-4,-5,-4
30,Depression,-3,-5,-4,-5,-3
